user_id,R,F,Rscore,Fscore,RFM,User_Label
[1857066],13,56,0,1,01,重要保持客户
[1866742],16,7,0,0,00,重要挽留客户
[1897583],18,4,1,0,10,重要发展客户
[1926899],12,101,0,1,01,重要保持客户
[1944583],32,7,1,0,10,重要发展客户
[1963813],16,10,0,0,00,重要挽留客户
[1985644],16,9,0,0,00,重要挽留客户
[2003464],15,24,0,1,01,重要保持客户
[2010204],21,4,1,0,10,重要发展客户
[2045844],12,8,0,0,00,重要挽留客户
[2077849],32,2,1,0,10,重要发展客户
[2079867],18,22,1,1,11,重要价值客户
[2083985],17,2,0,0,00,重要挽留客户
[2092395],18,1,1,0,10,重要发展客户
[2097413],12,11,0,0,00,重要挽留客户
[2099277],33,2,1,0,10,重要发展客户
[2103285],12,16,0,1,01,重要保持客户
[2103722],18,8,1,0,10,重要发展客户
[2112922],21,2,1,0,10,重要发展客户
[2120923],18,11,1,0,10,重要发展客户
[2128246],18,14,1,1,11,重要价值客户
[2131753],14,24,0,1,01,重要保持客户
[2139347],18,2,1,0,10,重要发展客户
[2165371],20,5,1,0,10,重要发展客户
[2172795],12,23,0,1,01,重要保持客户
[2183798],25,6,1,0,10,重要发展客户
[2196875],16,3,0,0,00,重要挽留客户
[2227874],17,10,0,0,00,重要挽留客户
[2242451],12,1,0,0,00,重要挽留客户
[2242773],20,11,1,0,10,重要发展客户
[2256395],16,6,0,0,00,重要挽留客户
[2267344],13,14,0,1,01,重要保持客户
[2272401],31,1,1,0,10,重要发展客户
[2283337],18,36,1,1,11,重要价值客户
[2302002],13,39,0,1,01,重要保持客户
[2319819],12,17,0,1,01,重要保持客户
[2338844],17,1,0,0,00,重要挽留客户
[2352151],14,4,0,0,00,重要挽留客户
[2357844],17,20,0,1,01,重要保持客户
[2364046],18,17,1,1,11,重要价值客户
[2364863],29,4,1,0,10,重要发展客户
[2379445],13,11,0,0,00,重要挽留客户
[2400099],12,18,0,1,01,重要保持客户
[2489487],12,8,0,0,00,重要挽留客户
[2493818],13,11,0,0,00,重要挽留客户
[2502524],13,5,0,0,00,重要挽留客户
[2527320],29,2,1,0,10,重要发展客户
[2536588],12,15,0,1,01,重要保持客户
[2557196],14,3,0,0,00,重要挽留客户
[2588780],13,11,0,0,00,重要挽留客户
[2590763],14,1,0,0,00,重要挽留客户
[2622091],12,9,0,0,00,重要挽留客户
[2639819],21,2,1,0,10,重要发展客户
[2683726],20,5,1,0,10,重要发展客户
[2686606],14,11,0,0,00,重要挽留客户
[2695854],13,25,0,1,01,重要保持客户
[2696208],35,1,1,0,10,重要发展客户
[2720721],14,21,0,1,01,重要保持客户
[2742560],16,38,0,1,01,重要保持客户
[2745737],21,15,1,1,11,重要价值客户
[2751701],14,2,0,0,00,重要挽留客户
[2763135],17,2,0,0,00,重要挽留客户
[2814416],16,10,0,0,00,重要挽留客户
[2820961],13,24,0,1,01,重要保持客户
[2839379],18,4,1,0,10,重要发展客户
[2845412],15,6,0,0,00,重要挽留客户
[2870275],14,5,0,0,00,重要挽留客户
[2883429],22,1,1,0,10,重要发展客户
[2887948],30,2,1,0,10,重要发展客户
[2896763],32,1,1,0,10,重要发展客户
[2910556],14,33,0,1,01,重要保持客户
[2913602],12,36,0,1,01,重要保持客户
[2934039],14,6,0,0,00,重要挽留客户
[2935703],14,19,0,1,01,重要保持客户
[2950136],14,24,0,1,01,重要保持客户
[2952532],12,19,0,1,01,重要保持客户
[2967122],19,8,1,0,10,重要发展客户
[2989110],13,27,0,1,01,重要保持客户
[3016266],15,11,0,0,00,重要挽留客户
[3063448],12,21,0,1,01,重要保持客户
[3065306],21,11,1,0,10,重要发展客户
[3066501],38,1,1,0,10,重要发展客户
[3089923],15,2,0,0,00,重要挽留客户
[3141769],12,8,0,0,00,重要挽留客户
[3141933],22,6,1,0,10,重要发展客户
[3162324],14,8,0,0,00,重要挽留客户
[3166978],12,45,0,1,01,重要保持客户
[3190957],17,9,0,0,00,重要挽留客户
[3192805],29,6,1,0,10,重要发展客户
[3227231],20,29,1,1,11,重要价值客户
[3233000],12,6,0,0,00,重要挽留客户
[3240412],25,1,1,0,10,重要发展客户
[3282021],12,39,0,1,01,重要保持客户
[3304327],12,19,0,1,01,重要保持客户
[3318666],12,40,0,1,01,重要保持客户
[3324323],22,2,1,0,10,重要发展客户
[3328558],14,21,0,1,01,重要保持客户
[3350428],14,8,0,0,00,重要挽留客户
[3375066],12,14,0,1,01,重要保持客户
[3380259],15,11,0,0,00,重要挽留客户
[3384843],24,8,1,0,10,重要发展客户
[3423779],22,10,1,0,10,重要发展客户
[3442818],12,47,0,1,01,重要保持客户
[3447448],12,1,0,0,00,重要挽留客户
[3460631],20,24,1,1,11,重要价值客户
[3466367],13,3,0,0,00,重要挽留客户
[3468674],18,8,1,0,10,重要发展客户
[3482403],12,10,0,0,00,重要挽留客户
[3495324],27,1,1,0,10,重要发展客户
[3508821],13,14,0,1,01,重要保持客户
[3512329],12,12,0,0,00,重要挽留客户
[3519280],19,34,1,1,11,重要价值客户
[3543407],12,6,0,0,00,重要挽留客户
[3566914],18,19,1,1,11,重要价值客户
[3569244],13,3,0,0,00,重要挽留客户
[3569918],13,3,0,0,00,重要挽留客户
[3577313],25,6,1,0,10,重要发展客户
[3578206],13,12,0,0,00,重要挽留客户
[3607854],14,43,0,1,01,重要保持客户
[3631290],19,4,1,0,10,重要发展客户
[3632278],16,15,0,1,01,重要保持客户
[3662776],12,44,0,1,01,重要保持客户
[3671315],14,76,0,1,01,重要保持客户
[3671520],16,23,0,1,01,重要保持客户
[3694961],12,115,0,1,01,重要保持客户
[3695398],13,13,0,0,00,重要挽留客户
[3709994],14,6,0,0,00,重要挽留客户
[3712578],15,17,0,1,01,重要保持客户
[3714513],16,6,0,0,00,重要挽留客户
[3731463],15,15,0,1,01,重要保持客户
[3763394],18,9,1,0,10,重要发展客户
[3789630],12,5,0,0,00,重要挽留客户
[3791755],15,1,0,0,00,重要挽留客户
[3792677],13,15,0,1,01,重要保持客户
[3796254],18,5,1,0,10,重要发展客户
[3830694],12,30,0,1,01,重要保持客户
[3840121],12,46,0,1,01,重要保持客户
[3864501],19,4,1,0,10,重要发展客户
[3878869],19,6,1,0,10,重要发展客户
[3880359],22,3,1,0,10,重要发展客户
[3914310],15,4,0,0,00,重要挽留客户
[3919761],29,4,1,0,10,重要发展客户
[3927253],27,2,1,0,10,重要发展客户
[3945782],39,1,1,0,10,重要发展客户
[3965819],14,2,0,0,00,重要挽留客户
[3987745],15,8,0,0,00,重要挽留客户
[4053567],15,10,0,0,00,重要挽留客户
[4060646],12,6,0,0,00,重要挽留客户
[4076820],13,18,0,1,01,重要保持客户
[4077888],12,20,0,1,01,重要保持客户
[4082863],13,6,0,0,00,重要挽留客户
[4088842],13,15,0,1,01,重要保持客户
[4095217],17,4,0,0,00,重要挽留客户
[4102557],15,17,0,1,01,重要保持客户
[4110055],15,7,0,0,00,重要挽留客户
[4110672],20,2,1,0,10,重要发展客户
[4120403],12,149,0,1,01,重要保持客户
[4137745],14,30,0,1,01,重要保持客户
[4140926],18,10,1,0,10,重要发展客户
[4146900],12,29,0,1,01,重要保持客户
[4164164],18,4,1,0,10,重要发展客户
[4164359],26,3,1,0,10,重要发展客户
[4174826],13,1,0,0,00,重要挽留客户
[4186010],19,18,1,1,11,重要价值客户
[4195964],15,36,0,1,01,重要保持客户
[4225412],13,51,0,1,01,重要保持客户
[4231989],17,9,0,0,00,重要挽留客户
[4261260],14,2,0,0,00,重要挽留客户
[4271718],24,17,1,1,11,重要价值客户
[4283186],16,1,0,0,00,重要挽留客户
[4286657],12,7,0,0,00,重要挽留客户
[4338344],15,6,0,0,00,重要挽留客户
[4361577],12,103,0,1,01,重要保持客户
[4364079],15,69,0,1,01,重要保持客户
[4374427],13,5,0,0,00,重要挽留客户
[4381858],20,12,1,0,10,重要发展客户
[4387844],13,15,0,1,01,重要保持客户
[4445837],17,11,0,0,00,重要挽留客户
[4496414],13,8,0,0,00,重要挽留客户
[4524349],15,22,0,1,01,重要保持客户
[4561993],30,4,1,0,10,重要发展客户
[4567220],13,3,0,0,00,重要挽留客户
[4573013],18,15,1,1,11,重要价值客户
[4579794],21,22,1,1,11,重要价值客户
[4597166],13,6,0,0,00,重要挽留客户
[4642457],13,11,0,0,00,重要挽留客户
[4644312],22,2,1,0,10,重要发展客户
[4688795],29,3,1,0,10,重要发展客户
[4710740],18,7,1,0,10,重要发展客户
[4716732],23,5,1,0,10,重要发展客户
[4725269],15,13,0,0,00,重要挽留客户
[4729352],29,3,1,0,10,重要发展客户
[4742459],27,1,1,0,10,重要发展客户
[4752206],12,11,0,0,00,重要挽留客户
[4755159],22,4,1,0,10,重要发展客户
[4763932],31,1,1,0,10,重要发展客户
[4772544],22,1,1,0,10,重要发展客户
[4790160],30,12,1,0,10,重要发展客户
[4839432],35,1,1,0,10,重要发展客户
[4839533],12,12,0,0,00,重要挽留客户
[4839961],41,1,1,0,10,重要发展客户
[4869558],29,2,1,0,10,重要发展客户
[4903043],19,37,1,1,11,重要价值客户
[4917287],12,3,0,0,00,重要挽留客户
[4919496],37,1,1,0,10,重要发展客户
[4921070],32,3,1,0,10,重要发展客户
[4922072],19,2,1,0,10,重要发展客户
[4960300],23,2,1,0,10,重要发展客户
[4979200],15,8,0,0,00,重要挽留客户
[5020210],17,43,0,1,01,重要保持客户
[5028667],12,8,0,0,00,重要挽留客户
[5051617],33,1,1,0,10,重要发展客户
[5057199],24,2,1,0,10,重要发展客户
[5066694],15,31,0,1,01,重要保持客户
[5091068],29,8,1,0,10,重要发展客户
[5137598],13,2,0,0,00,重要挽留客户
[5141057],18,3,1,0,10,重要发展客户
[5154444],14,11,0,0,00,重要挽留客户
[5159022],16,1,0,0,00,重要挽留客户
[5179507],30,5,1,0,10,重要发展客户
[5187945],19,1,1,0,10,重要发展客户
[5189513],18,11,1,0,10,重要发展客户
[5196815],12,9,0,0,00,重要挽留客户
[5201714],12,21,0,1,01,重要保持客户
[5223307],12,5,0,0,00,重要挽留客户
[5236221],13,9,0,0,00,重要挽留客户
[5250412],16,3,0,0,00,重要挽留客户
[5287432],27,3,1,0,10,重要发展客户
[5307517],18,3,1,0,10,重要发展客户
[5315279],12,34,0,1,01,重要保持客户
[5358079],16,11,0,0,00,重要挽留客户
[5396057],15,11,0,0,00,重要挽留客户
[5412158],13,13,0,0,00,重要挽留客户
[5424550],13,101,0,1,01,重要保持客户
[5440164],12,2,0,0,00,重要挽留客户
[5451259],21,4,1,0,10,重要发展客户
[5460550],14,15,0,1,01,重要保持客户
[5466222],23,5,1,0,10,重要发展客户
[5467215],13,21,0,1,01,重要保持客户
[5478302],12,9,0,0,00,重要挽留客户
[5481789],25,2,1,0,10,重要发展客户
[5483686],14,3,0,0,00,重要挽留客户
[5485673],13,9,0,0,00,重要挽留客户
[5586064],13,23,0,1,01,重要保持客户
[5616094],26,3,1,0,10,重要发展客户
[5624123],16,7,0,0,00,重要挽留客户
[5626464],13,6,0,0,00,重要挽留客户
[5680285],20,2,1,0,10,重要发展客户
[5686843],12,22,0,1,01,重要保持客户
[5694160],12,18,0,1,01,重要保持客户
[5698511],16,7,0,0,00,重要挽留客户
[5699616],13,2,0,0,00,重要挽留客户
[5710300],12,11,0,0,00,重要挽留客户
[5719706],14,1,0,0,00,重要挽留客户
[5740730],17,7,0,0,00,重要挽留客户
[5778458],23,1,1,0,10,重要发展客户
[5786548],22,2,1,0,10,重要发展客户
[5786807],13,11,0,0,00,重要挽留客户
[5798831],12,3,0,0,00,重要挽留客户
[5803579],36,1,1,0,10,重要发展客户
[5837961],13,13,0,0,00,重要挽留客户
[5838287],12,5,0,0,00,重要挽留客户
[5860001],16,12,0,0,00,重要挽留客户
[5865371],18,17,1,1,11,重要价值客户
[5875750],22,5,1,0,10,重要发展客户
[5938241],12,35,0,1,01,重要保持客户
[5942869],19,9,1,0,10,重要发展客户
[5950556],12,24,0,1,01,重要保持客户
[6015031],17,3,0,0,00,重要挽留客户
[6018416],18,11,1,0,10,重要发展客户
[6049053],16,9,0,0,00,重要挽留客户
[6062947],12,4,0,0,00,重要挽留客户
[6064746],13,5,0,0,00,重要挽留客户
[6068352],16,2,0,0,00,重要挽留客户
[6071666],14,4,0,0,00,重要挽留客户
[6079735],12,23,0,1,01,重要保持客户
[6101177],14,33,0,1,01,重要保持客户
[6142132],18,2,1,0,10,重要发展客户
[6146353],26,8,1,0,10,重要发展客户
[6163885],35,1,1,0,10,重要发展客户
[6177572],12,1,0,0,00,重要挽留客户
[6212208],16,6,0,0,00,重要挽留客户
[6222588],12,47,0,1,01,重要保持客户
[6228124],12,17,0,1,01,重要保持客户
[6230291],21,10,1,0,10,重要发展客户
[6235300],14,8,0,0,00,重要挽留客户
[6236717],18,2,1,0,10,重要发展客户
[6243406],13,2,0,0,00,重要挽留客户
[6274948],16,7,0,0,00,重要挽留客户
[6303684],15,14,0,1,01,重要保持客户
[6317562],22,14,1,1,11,重要价值客户
[6336158],14,6,0,0,00,重要挽留客户
[6336487],14,38,0,1,01,重要保持客户
[6345483],19,5,1,0,10,重要发展客户
[6346697],12,3,0,0,00,重要挽留客户
[6347508],12,11,0,0,00,重要挽留客户
[6375695],14,8,0,0,00,重要挽留客户
[6392284],26,1,1,0,10,重要发展客户
[6419226],19,5,1,0,10,重要发展客户
[6435793],28,1,1,0,10,重要发展客户
[6437749],14,13,0,0,00,重要挽留客户
[6442389],12,4,0,0,00,重要挽留客户
[6443596],16,16,0,1,01,重要保持客户
[6452476],15,20,0,1,01,重要保持客户
[6478780],20,17,1,1,11,重要价值客户
[6500341],19,13,1,0,10,重要发展客户
[6504113],13,50,0,1,01,重要保持客户
[6516360],18,21,1,1,11,重要价值客户
[6516985],18,3,1,0,10,重要发展客户
[6556740],14,8,0,0,00,重要挽留客户
[6566040],16,8,0,0,00,重要挽留客户
[6582864],13,35,0,1,01,重要保持客户
[6596569],42,1,1,0,10,重要发展客户
[6598755],32,3,1,0,10,重要发展客户
[6640205],12,13,0,0,00,重要挽留客户
[6643814],15,8,0,0,00,重要挽留客户
[6685234],21,6,1,0,10,重要发展客户
[6722083],13,11,0,0,00,重要挽留客户
[6723204],17,3,0,0,00,重要挽留客户
[6734365],17,6,0,0,00,重要挽留客户
[6776778],14,22,0,1,01,重要保持客户
[6799716],12,3,0,0,00,重要挽留客户
[6812814],23,2,1,0,10,重要发展客户
[6814789],18,35,1,1,11,重要价值客户
[6847334],18,3,1,0,10,重要发展客户
[6861624],14,3,0,0,00,重要挽留客户
[6884739],15,7,0,0,00,重要挽留客户
[6926678],17,17,0,1,01,重要保持客户
[6931133],16,4,0,0,00,重要挽留客户
[6957110],16,1,0,0,00,重要挽留客户
[6966107],18,4,1,0,10,重要发展客户
[6997005],12,43,0,1,01,重要保持客户
[7011544],12,11,0,0,00,重要挽留客户
[7012275],20,2,1,0,10,重要发展客户
[7018172],18,4,1,0,10,重要发展客户
[7030262],15,8,0,0,00,重要挽留客户
[7053874],18,4,1,0,10,重要发展客户
[7055673],13,24,0,1,01,重要保持客户
[7072231],17,6,0,0,00,重要挽留客户
[7089989],28,1,1,0,10,重要发展客户
[7094594],13,8,0,0,00,重要挽留客户
[7121453],15,8,0,0,00,重要挽留客户
[7129140],12,22,0,1,01,重要保持客户
[7138866],12,20,0,1,01,重要保持客户
[7144740],18,4,1,0,10,重要发展客户
[7175674],16,7,0,0,00,重要挽留客户
[7196391],15,10,0,0,00,重要挽留客户
[7197108],18,3,1,0,10,重要发展客户
[7202772],15,9,0,0,00,重要挽留客户
[7207480],15,33,0,1,01,重要保持客户
[7223825],28,5,1,0,10,重要发展客户
[7226947],19,47,1,1,11,重要价值客户
[7234861],18,49,1,1,11,重要价值客户
[7248646],16,1,0,0,00,重要挽留客户
[7254306],20,19,1,1,11,重要价值客户
[7267531],13,23,0,1,01,重要保持客户
[7277182],12,11,0,0,00,重要挽留客户
[7288446],15,5,0,0,00,重要挽留客户
[7295557],13,7,0,0,00,重要挽留客户
[7341876],12,21,0,1,01,重要保持客户
[7363107],16,28,0,1,01,重要保持客户
[7365270],13,4,0,0,00,重要挽留客户
[7366396],12,18,0,1,01,重要保持客户
[7391440],12,16,0,1,01,重要保持客户
[7397337],12,22,0,1,01,重要保持客户
[7427667],16,1,0,0,00,重要挽留客户
[7436994],12,35,0,1,01,重要保持客户
[7446574],18,4,1,0,10,重要发展客户
[7470488],20,5,1,0,10,重要发展客户
[7507359],40,1,1,0,10,重要发展客户
[7538685],25,1,1,0,10,重要发展客户
[7554598],24,1,1,0,10,重要发展客户
[7560153],18,9,1,0,10,重要发展客户
[7585996],12,39,0,1,01,重要保持客户
[7604354],20,8,1,0,10,重要发展客户
[7606334],13,10,0,0,00,重要挽留客户
[7610653],12,21,0,1,01,重要保持客户
[7612152],14,8,0,0,00,重要挽留客户
[7623264],28,1,1,0,10,重要发展客户
[7630304],16,15,0,1,01,重要保持客户
[7646195],14,12,0,0,00,重要挽留客户
[7647261],20,2,1,0,10,重要发展客户
[7679270],13,18,0,1,01,重要保持客户
[7723951],15,2,0,0,00,重要挽留客户
[7733967],19,6,1,0,10,重要发展客户
[7761295],33,13,1,0,10,重要发展客户
[7766678],17,7,0,0,00,重要挽留客户
[7774023],13,16,0,1,01,重要保持客户
[7780072],29,1,1,0,10,重要发展客户
[7788241],12,27,0,1,01,重要保持客户
[7799018],19,7,1,0,10,重要发展客户
[7829997],36,7,1,0,10,重要发展客户
[7843229],18,8,1,0,10,重要发展客户
[7853740],12,55,0,1,01,重要保持客户
[7874812],17,5,0,0,00,重要挽留客户
[7881635],22,4,1,0,10,重要发展客户
[7892881],12,44,0,1,01,重要保持客户
[7915670],12,3,0,0,00,重要挽留客户
[7956207],20,7,1,0,10,重要发展客户
[7959667],15,19,0,1,01,重要保持客户
[7970200],37,2,1,0,10,重要发展客户
[8009008],22,9,1,0,10,重要发展客户
[8045744],13,11,0,0,00,重要挽留客户
[8052951],15,32,0,1,01,重要保持客户
[8119848],22,37,1,1,11,重要价值客户
[8197937],18,35,1,1,11,重要价值客户
[8205078],27,24,1,1,11,重要价值客户
[8213864],13,60,0,1,01,重要保持客户
[8217647],13,16,0,1,01,重要保持客户
[8231529],12,23,0,1,01,重要保持客户
[8240912],13,15,0,1,01,重要保持客户
[8249269],16,11,0,0,00,重要挽留客户
[8311653],17,2,0,0,00,重要挽留客户
[8325510],14,11,0,0,00,重要挽留客户
[8337357],12,11,0,0,00,重要挽留客户
[8350359],24,5,1,0,10,重要发展客户
[8354126],16,4,0,0,00,重要挽留客户
[8359310],15,4,0,0,00,重要挽留客户
[8362294],18,11,1,0,10,重要发展客户
[8370322],19,18,1,1,11,重要价值客户
[8382449],12,33,0,1,01,重要保持客户
[8388321],18,9,1,0,10,重要发展客户
[8397935],14,4,0,0,00,重要挽留客户
[8406569],18,10,1,0,10,重要发展客户
[8413012],18,4,1,0,10,重要发展客户
[8427578],16,3,0,0,00,重要挽留客户
[8439431],14,1,0,0,00,重要挽留客户
[8440456],18,8,1,0,10,重要发展客户
[8443684],12,13,0,0,00,重要挽留客户
[8445368],14,9,0,0,00,重要挽留客户
[8446375],17,5,0,0,00,重要挽留客户
[8452470],12,14,0,1,01,重要保持客户
[8455780],21,9,1,0,10,重要发展客户
[8499333],15,10,0,0,00,重要挽留客户
[8499885],19,27,1,1,11,重要价值客户
[8509077],27,2,1,0,10,重要发展客户
[8581353],18,10,1,0,10,重要发展客户
[8596951],13,37,0,1,01,重要保持客户
[8679255],24,72,1,1,11,重要价值客户
[8686191],15,13,0,0,00,重要挽留客户
[8688021],13,14,0,1,01,重要保持客户
[8692489],15,3,0,0,00,重要挽留客户
[8702919],15,33,0,1,01,重要保持客户
[8747297],18,4,1,0,10,重要发展客户
[8750098],12,10,0,0,00,重要挽留客户
[8764314],19,28,1,1,11,重要价值客户
[8784082],15,12,0,0,00,重要挽留客户
[8801409],13,13,0,0,00,重要挽留客户
[8820897],12,14,0,1,01,重要保持客户
[8823134],40,1,1,0,10,重要发展客户
[8832025],38,2,1,0,10,重要发展客户
[8847877],13,25,0,1,01,重要保持客户
[8856141],12,5,0,0,00,重要挽留客户
[8863153],13,4,0,0,00,重要挽留客户
[8886191],14,38,0,1,01,重要保持客户
[8909639],24,11,1,0,10,重要发展客户
[8913893],12,25,0,1,01,重要保持客户
[8915107],14,31,0,1,01,重要保持客户
[8917150],12,26,0,1,01,重要保持客户
[8973625],15,6,0,0,00,重要挽留客户
[9032548],33,2,1,0,10,重要发展客户
[9056309],14,6,0,0,00,重要挽留客户
[9065398],26,1,1,0,10,重要发展客户
[9087115],26,3,1,0,10,重要发展客户
[9090200],25,4,1,0,10,重要发展客户
[9092898],13,11,0,0,00,重要挽留客户
[9138659],19,5,1,0,10,重要发展客户
[9144935],13,8,0,0,00,重要挽留客户
[9149930],15,13,0,0,00,重要挽留客户
[9150141],18,1,1,0,10,重要发展客户
[9171135],23,5,1,0,10,重要发展客户
[9180621],13,15,0,1,01,重要保持客户
[9184855],12,14,0,1,01,重要保持客户
[9194303],23,31,1,1,11,重要价值客户
[9215982],23,1,1,0,10,重要发展客户
[9219164],18,48,1,1,11,重要价值客户
[9225110],13,11,0,0,00,重要挽留客户
[9238232],34,2,1,0,10,重要发展客户
[9260930],38,1,1,0,10,重要发展客户
[9268397],16,14,0,1,01,重要保持客户
[9290733],14,43,0,1,01,重要保持客户
[9299440],27,7,1,0,10,重要发展客户
[9310791],13,9,0,0,00,重要挽留客户
[9328686],15,3,0,0,00,重要挽留客户
[9367616],23,7,1,0,10,重要发展客户
[9371856],13,15,0,1,01,重要保持客户
[9384380],16,2,0,0,00,重要挽留客户
[9388372],23,12,1,0,10,重要发展客户
[9413973],40,1,1,0,10,重要发展客户
[9451374],12,13,0,0,00,重要挽留客户
[9457887],18,2,1,0,10,重要发展客户
[9480832],19,1,1,0,10,重要发展客户
[9487538],14,5,0,0,00,重要挽留客户
[9500401],19,76,1,1,11,重要价值客户
[9524175],13,12,0,0,00,重要挽留客户
[9528671],13,28,0,1,01,重要保持客户
[9551296],18,12,1,0,10,重要发展客户
[9556056],18,10,1,0,10,重要发展客户
[9560592],17,18,0,1,01,重要保持客户
